iter	Passed	Remaining
1402	53040	3667
1403	53077	3629
1404	53112	3591
1405	53147	3553
1406	53181	3515
1407	53222	3477
1408	53261	3439
1409	53297	3401
1410	53333	3364
1411	53370	3326
1412	53411	3288
1413	53447	3250
1414	53483	3212
1415	53521	3175
1416	53561	3137
1417	53597	3099
1418	53635	3061
1419	53672	3023
1420	53710	2986
1421	53746	2948
1422	53783	2910
1423	53821	2872
1424	53859	2834
1425	53897	2796
1426	53943	2759
1427	53982	2721
1428	54025	2684
1429	54068	2646
1430	54108	2609
1431	54143	2571
1432	54178	2533
1433	54217	2495
1434	54256	2457
1435	54290	2419
1436	54323	2381
1437	54370	2344
1438	54425	2307
1439	54465	2269
1440	54500	2231
1441	54537	2193
1442	54572	2155
1443	54606	2117
1444	54644	2079
1445	54680	2041
1446	54714	2004
1447	54752	1966
1448	54788	1928
1449	54830	1890
1450	54871	1853
1451	54906	1815
1452	54939	1777
1453	54974	1739
1454	55015	1701
1455	55050	1663
1456	55090	1625
1457	55124	1587
1458	55165	1550
1459	55200	1512
1460	55239	1474
1461	55272	1436
1462	55306	1398
1463	55340	1360
1464	55377	1323
1465	55413	1285
1466	55453	1247
1467	55488	1209
1468	55529	1171
1469	55565	1133
1470	55605	1096
1471	55641	1058
1472	55675	1020
1473	55711	982
1474	55747	944
1475	55781	907
1476	55820	869
1477	55858	831
1478	55896	793
1479	55931	755
1480	55963	717
1481	55999	680
1482	56034	642
1483	56070	604
1484	56101	566
1485	56137	528
1486	56172	491
1487	56210	453
1488	56246	415
1489	56281	377
1490	56321	339
1491	56353	302
1492	56393	264
1493	56426	226
1494	56465	188
1495	56506	151
1496	56545	113
1497	56582	75
1498	56622	37
1499	56659	0
